"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"169","CARROLL ST",40.680303,-73.995048,29,-25,753,937,901,537,76,568,697,487,192,17,633,4050,1228,1291,66,3,828,3827,1410,1292,26,38,869,3807,1223,1432,193,-5,911,3802,1310,1436,263,11,665,3538,1417,1152,0
"170","CASTLE HILL AV",40.834255,-73.851222,-427,342,433,141,-458,-393,-202,224,178,-385,-407,-211,1863,1335,-27,-1742,-753,-252,2074,1308,-144,-1898,-916,-256,2057,1410,-4,-1780,-860,-261,2040,857,489,-1427,-1012,-301,1898,-489.5,717,842,0
"171","CATHEDRAL PKWY",40.800605,-73.958158,-131,310,2185,2086,1370,125,-104,185,1779,1777,597,-211,-34,2510,2379,1938,1003,-76,-22,2835,2398,2523,1223,-265,-18,2935,2622,2682,1421,-109,-23,2727,2629,2939,1659,65,-21,2559,2851,2836,2056
"172","CENTRAL AV",40.697857,-73.927397,103,-98.5,336,74,-249,-210,-69,78,255,48,-240,-172,-8,1237,744,-95,-1196,-427,-3,1314,812,-109,-1222,-484,-33,1336,798,-133,-1190,-497,-37,1352,861,-31,-1058,-566,-36,1267,754,-125,-968
"173","CENTRAL PK N110",40.800605,-73.958158,-272,113,901,892,390,-300,-168,564,451,128,-443,-173,753,1646,450,-165,-725,-194,729,1825,473,-115,-707,-125,723,1912,488,-24,-751,-167,766,1866,535,82,-675,-177,666,1624,404,80,0
"174","CHAMBERS ST",40.714111,-74.008585,128,-484,-4064,-225,2721,1562,162,-2066,-1132,1930,915,50,-4636,-11272,8261,26486,6232,298,-5394,-13037,9406,28556,7214,344,-5548,-12434,9836,27627,6908,437,-5607,-12025,8799,27096,6946,348,-3947,-7198,8374,21644,0
"175","CHAUNCEY ST",40.682893,-73.910456,-25,268,533,297,220,-26,-45,175,392,311,89,-20,32,1065,602,301,-49,-140,20,1166,594,343,-132,-84,30,1128,626,247,-91,-84,24,1141,595,349,-100,-90,-5,1070,630,350,56
"176","CHRISTOPHER ST",40.733422,-74.002906,834,-317,-1194,-370,1300,897,955,-521,-129,273,670,342,-267,-1892,-251,1245,1480,362,-274,-2388,-24,1184,1652,328,-727,-1920,2,831,2242,446,-181,-2026,-386,845,2093,728,-427,-1631,-865,1116,31
"177","CHURCH AV",40.650527,-73.962982,-1429,2206,3733,2821,-369,-1618,-325,2474,1863,-335,-1128,-339,5976,10747,1549,-4120,-2777,-719,6671,11559,1815,-4726,-2940,-685,6655,11628,1697,-4322,-3095,-702,6513,11513,2015,-4167,-3057,-600,5977,10643,1750,-3257,851
"178","CITY HALL",40.713282,-74.006978,35,-10,11,584,714,238,1,29,309,516,115,-7,-383,-565,921,2630,430,29,-435,-515,1179,2945,591,30,-426,-568,1384,2893,558,28,-423,-552,1109,2953,712,42,-398,-415,1032,2433,0
"179","CLARK ST",40.697466,-73.993086,-24,33,254,517,906,223,-5,151,421,219,194,3,268,1501,397,450,-102,-25,264,1485,431,602,-17,0,225,1706,505,505,-94,16,277,1572,422,683,114,1,247,1462,548,731,0
"180","CLASSON AV",40.688873,-73.96007,-249,50,556,366,-127,-365,-192,402,358,-339,-420,-80,464,1499,149,-926,-748,-69,563,1441,90,-946,-939,-71,542,1518,143,-834,-765,-96,544,846,742,-787,-867,-113,431,1483,209,-718,0
"181","CLEVELAND ST",40.679947,-73.884639,-55,314,236,-26,-321,-279,-71,171,118,-9,-246,-208,23,1329,260,-329,-855,-307,4,1377,289,-300,-781,-339,-4,1385,311,-410,-775,-292,11,1362,332,-390,-765,-295,-9,1290,250,-330,-730
"182","CLINTON-WASH AV",40.688089,-73.966839,-101,183,1306,1478,778,22,42,387,1037,639,215,95,247,3305,1459,866,606,162,311,3458,1594,1128,578,224,317,3400,1616,1037,648,192,256,3243,1548,1127,615,151,160,3118,1603,1243,1118
"183","CONEY IS-STILLW",40.577422,-73.981233,-208,396,-642,969,1276,-437,-213,373,-264,67,1497,43,-30,2577,724,-215,-1397,-625,-45,2780,762,-196,-1645,-721,-53,2820,630,-231,-1438,-736,-63,2784,640,33,-1260,-789,-86,2640,695,-246,-1048
"184","CORTELYOU RD",40.640927,-73.963891,-34,336,871,903,627,171,197,701,754,291,101,-6,1596,2147,496,263,32,-33,1667,2356,488,185,1,-38,1748,2444,437,281,-19,-32,1693,2406,437,226,9,-39,1551,2195,470,396,1908.5
"185","CORTLANDT ST",40.710668,-74.011029,-1,20,232,1615,2079,220,-35,2,240,1090,951,100,-23,-1341,-934,1367,2835,165,-10,-1526,-1065,1572,3539,212,-19,-1626,-848,1751,3265,177,-30,-1625,-797,1918,3310,233,-17,-1486,-757,2019,2769
"186","CRESCENT ST",40.683194,-73.873785,-94,618,345,-74,-641,-408,-1.5,321,334,-63,-483,-282,29,1970,404,-656,-1431,-492,23,2140,401,-642,-1666,-529,16,2117,450,-750,-1600,-481,15,2091,439,-737,-1460,-534,7,2004,430,-693,-1440
"187","CROWN HTS-UTICA",40.679364,-73.930729,-599,1238,2703,2047,233,-453,-38,1356,1466,-54,-663,-283,6486,7854,835,-3675,-1888,-517,7357,8064,1002,-4497,-2383,-481,7268,8200,841,-4361,-2477,-514,7271,8339,998,-4473,-2423,-507,6705,7753,1058,-3824,850
"188","CYPRESS AV",40.805368,-73.914042,-27,165,298,280,97,-49,26,153,206,161,-3,-20,-2,461,154,504,211,-91,9,547,331,546,256,-80,9,513,331,574,199,-62,9,654,336,619,541,2,18,563,385,614,260
"189","CYPRESS HILLS",40.689941,-73.87255,-40,121,132,115,35,-21,94,83,82,-20,-11,-13,452,359,71,-100,-76,-10,465,399,75,-81,-80,-10,452,437,51,-150,-75,-17,455,385,47,-108,-44,-20,406,365,61,-65,0
"190","DEKALB AV",40.690635,-73.981824,-34,966,2739,2938,2176,1161,566,2406,2486,1370,198,34,3145,5937,4662,3919,728,77,3440,6945,4678,4643,692,-39,3381,6899,4758,4657,718,4,3389,6760,4687,4705,916,-48,3144,6722,4838,4100,0
"191","DELANCEY/ESSEX",40.718611,-73.988114,1127,118,147,867,976,739,1164,77,294,1110,853,722,137,1178,1463,2590,461,821,219,1191,1452,2964,217,1227,324,898,1533,2855,207,1275,363,1077,1312,2789,758,1277,506,426,1370,2565,29
"192","DITMAS AV",40.636119,-73.978172,3,205,345,217,-11,-35,-9,115,247,201,-101,-40,39,799,326,102,-149,-78,28,869,299,69,-248,-85,38,865,340,101,-286,-107,25,869,328,93,-169,-93,33,998,29,134,-182
"193","DYCKMAN ST",40.860531,-73.925536,-132,954,2123,2298,1524,357,173,1047,1480,1224,560,129,1459,3987,2262,1552,605,496,1597,4512,2267,1607,702,338,1541,4427,2415,1556,570,359,1536,4357,2327,1240,950,405,1512,4191,2368,1843,1008
"194","E 143/ST MARY'S",40.808719,-73.907657,-13,-48,-2,70,-18,-42,1,-69,4,45,-29,-29,1,-175,-83,205,23,-51,-9,-184,-30,194,29,-44,-8,-183,-57,201,50,-50,-1,-170,-77,-458,775,-34,-4,-188,-40,177,12
"195","E 149 ST",40.812118,-73.904098,-90,275,306,131,-228,-336,-92,190,261,48,-158,-178,-23,1129,283,127,-585,-331,-40,1149,354,71,-621,-335,-37,1232,299,146,-660,-396,-36,1282,314,0,-477,-333,-50,1180,291,111,-454
"196","E 180 ST",40.841894,-73.873488,-164,633,628,284,-301,-423,-120,350,393,152,-171,-330,19,2536,666,84,-1184,-454,-28,2745,608,67,-1284,-555,-8,2833,627,76,-1146,-570,-12,2679,713,147,-1278,-544,-39,2645,609,123,-884
"197","EAST 105 ST",40.650573,-73.899485,-108,139,237,123,-153,-247,-82,41,183,81,-108,-172,-36,1166,332,-142,-755,-265,-34,1243,340,-156,-741,-283,-32,1149,425,-174,-646,-274,-62,1183,403,-97,-758,-284,-58,1156,434,-34,-690
"198","EAST BROADWAY",40.713715,-73.990173,67,287,1065,1383,1194,270,115,890,776,1142,28,63,968,2577,1806,2571,129,9,884,2253,1837,2653,280,3,918,2566,1884,2803,442,-12,883,2238,1899,2481,297,-52,861,2362,1869,2331,-97.5
"199","EASTCHSTER/DYRE",40.8883,-73.830834,-81,56,45,-53,-195,-137,-43,60,-3,-52,-113,-139,2,1879,188,-330,-1122,-304,-3,2031,235,-378,-1198,-372,2,1983,345,-330,-1173,-392,-1,1946,317,-333,-1090,-416,1,1807,281,-402,-885
"200","EASTN PKWY-MUSM",40.671987,-73.964375,-165,46,-343,351,698,-324,-70,182,-68,218,-308,-18,414,1077,184,-788,-583,-62,491,916,209,-521,-667,-53,471,973,148,-442,-619,-73,470,1008,152,-604,-527,-87,395,1022,197,-364,-173.5
"201","ELDER AV",40.828584,-73.879159,-200,894,593,61,-733,-649,-230,393,492,74,-496,-455,-18,2224,521,25,-1448,-757,-12,2442,520,13,-1572,-734,-58,2953,779.5,-1588,235,-752,-45,2567,695,-91,-1284,-764,-73,2322,589,-25,-1232
"202","ELMHURST AV",40.742454,-73.882017,-126,1159,2935,1844,1067,115,463,2258,1717,820,44,-17,3409,4779,1675,821,-91,-45,3561,5110,1655,848,-134,-68,3532,5047,1707,810,-149,-58,3506,5173,1735,921,-196,-66,3363,4973,1762,1132,0
"203","EUCLID AV",40.675377,-73.872106,19,833,1435,1386,704,381,578,1039,869,654,241,36,2985,2687,1507,573,111,25,3383,2911,1676,745,182,34,3359,3002,1713,768,104,13,3414,2965,1629,681,199,-11,3133,2842,1650,929,0
"204","EXCHANGE PLACE",40.706476,-74.011056,-48,432,684,13,-726,-451,-55,437,274,-205,-505,-242,-495,-1835,66,3764,-818,-302,30,-2391,492,3741,-1173,-280,946,-3028,430,1637,906,-221,34,-2140,283,3209,-421,-300,-13,-1441,272,3357,-1006
"205","FAR ROCKAWAY",40.603995,-73.755405,-228,85,135,248,-176,-263,-164,152,121,-103,-302,-141,937,132,-10,-693,-415,-106,1062,175,58,-646,-566,-126,1173,5849.5,116,-764,-487,-186,1042,160,-25,-649,-514,-166,946,176,16,-612,-73
"206","FLATBUSH AV-B.C",40.632836,-73.947642,-115,1305,1417,1444,442,-224,-227,673,924,666,343,-191,146,8062,2128,1355,-1017,-177,55,8578,2403,1231,-1244,-202,72,8671,2360,1459,-1178,-350,68,8566,2390,1519,-1099,-351,0,8020,2562,922,-1152
"207","FLUSHING AV",40.70026,-73.941126,-14,292,1192,1412,846,171,-15,82,764,959,591,-2,42,971,1232,2248,1690,130,34,1134,1276,2507,1667,121,49,1193,1227,2304,1757,75,21,1155,1286,2279,1941,126,48,1071,1412,2713,1866
"208","FLUSHING-MAIN",40.7596,-73.83003,-891,1303,2827,2701,-434,-887,-106,2524,1767,-361,-416,-518,9329,10574,2887,-6273,-4011,-561,10477,12147,3097,-7096,-3792,-608,10414,12595,2987,-5262,-4334,-732,10096,11460,3535,-7006,-4069,-750,9865,10833,2539,-6695,-373
"209","FORDHAM RD",40.861296,-73.897749,-371,1607,2592,3075,2115,1242,647,1856,2334,1651,437,-135,4618,4294,3623,2268,1003,-149,5109,4729,3454,2856,874,-109,5190,4704,4100,2627,1099,-152,5207,4353,4221,2587,1106,-140,4819,4567,3703,3008,-209
"210","FOREST AVE",40.704423,-73.903077,-87,318,403,83,-224,-238,-81,179,302,69,-222,-228,11,2084,598,-195,-889,-392,-44,2331,686,-157,-1060,-501,-20,2336,675,-192,-1071,-499,-47,2369,654,-126,-1037,-466,-59,2108,639,-208,-791
"211","FOREST HILLS 71",40.721691,-73.844521,86,1248,2472,2385,1007,433,52,685,1881,1554,709,220,147,9065,5925,287,-1621,-99,82,9950,4405,2239,-1529,-99,48,9790,4623,2186,-1383,-253,33,9689,4597,2158,-1083,-161,65,9181,4515,1722,-419
"212","FRANKLIN AV",40.680596,-73.955827,-376,379,2117,1912,702,-482,-61,1263,1407,341,-650,-371,1749,4897,1955,-1190,-1853,-618,1886,5451,2051,-1238,-1846,-695,1953,5668,1873,-862,-1997,-686,1963,5477,2260,-764,-1678,-803,1807,5292,2043,-727,-610
"213","FRANKLIN ST",40.719318,-74.006886,71,-76,62,409,247,172,67,-25,0,363,247,112,14,-671,-231,728,1275,406,6,-515,-289,929,1563,407,21,-640,-148,885,1273,367,23,-638,304,485,1277,378,23,-567,667,-24,1275
"214","FREEMAN ST",40.829993,-73.891865,-129,441,354,225,-70,-320,-156,267,265,204,-190,-209,-25,1252,480,215,-507,-413,-36,1476,628,269,-633,-417,-52,1449,590,270,-571,-434,-38,1474,597,287,-695,-437,-49,1376,548,361,-400
"215","FRESH POND RD",40.706186,-73.895877,-165,385,422,52,-472,-306,-160,231,380,-5,-430,-253,-17,2813,634,-693,-2309,-609,-57,3226,682,-695,-2615,-644,-71,3194,744,-849,-2412,-697,-87,3297,769,-803,-2450,-808,-95,3061,705,-863,-2123
"216","FT HAMILTON PKY",40.640914,-73.994304,-198,650,1474,534,-412,-773,-148,291,1013,429,-437,-473,-28,3836,1621,353,-1651,-832,-32,4231,1739,409,-1592,-946,-52,4115,1788,399,-1559,-986,-45,4067,1785,574,-1802,-951,-89,3710,1833,592,-1264
"217","FULTON ST",40.687119,-73.975375,-365,-1561,-116,3371,3481,1474,-200,-728,46,1718,1805,153,-1576,-18363,-5219,16932,18940,1832,-1524,-20337,-5079,19380,20613,1909,-1687,-21496,-4170,19445,20609,1987,-1525,-20460,-4525,19090,20059,2286,-1516,-18705,-3356,18653,17086
"218","GATES AV",40.68963,-73.92227,-73,422,837,868,469,122,-79,341,738,656,266,-4,34,1810,1098,801,98,-120,27,1970,1245,883,37,-165,16,2027,1750,561,-6,-170,7,1981,1212,917,64,-108,22,1848,1332,1021,262
"219","GRAHAM AV",40.714565,-73.944053,-151,44,1033,875,188,-200,-34,-2951,-65.5,-72.5,-105,4.5,307.5,792,11822,-198.5,-13.5,54,359,401,-198,-393,-780,-115,716,3890,817,-153,-771,-123,694,3922,992,-38,-830,-207,601,3686,859,-148,0
"220","GRAND ARMY PLAZ",40.675235,-73.971046,24,95,601,932,932,236,77,549,607,511,56,5,649,2780,838,404,71,-12,745,2772,849,631,21,-1,726,2850,904,478,29,5,724,2823,898,622,-9,-11,588,2521,861,756,0
"221","GRAND-NEWTOWN",40.737015,-73.877223,-367,1358,3000,1684,348,-408,197,2066,1493,335,-628,-143,3792,6758,1268,-1617,-1362,-239,4864,6372,1433,-1656,-1412,-295,4863,6469,1408,-1582,-1453,-282,4883,5515,2277,-1443,-1544,-341,4634,5985,1327,-1142,0
"222","GRAND ST",40.711926,-73.94067,66,-707,-3246,1364,3674,947,-222,-3589,1660,3637,1254,8,-1078,-1622,2539,5767,937,-8,-1157,-1653,3415,6538,956,4,-1116,-1723,3371,5642,1401,-80,-1184,-1671,2733,5659,1556,136,-1155,-1791,2615,4938,0
"223","GRANT AV",40.677044,-73.86505,-382,588,927,581,-58,-428,64,665,392,-115,-315,-147,2510,2364,401,-1384,-693,-190,2840,2539,399,-1655,-684,-229,2835,2588,275,-1252,-759,-251,2837,1617,1454,-1427,-798,-280,2641,2475,379,-1234,0
"224","GRD CNTRL-42 ST",40.751776,-73.976848,554,-2734,-1496,234,262,980,19,-1572,-1491,4009,5453,589,-2414,-18081,-9582,14572,29802,2543,-2975,-20051,-10476,15302,31936,2459,-2623,-20284,-10677,15733,32138,2648,-2304,-20027,-10801,15710,30181,2977,-2555,-19654,-9069,16974,21844
"225","GREENPOINT AV",40.731352,-73.954449,31,39,475,687,276,195,89,344,366,225,-19,-18,401,1939,356,243,-64,-6,395,1829,458,324,-85,-11,579,1810,401,443,-63,0,462,1792,421,349,-246,-3,381,1617,438,370,-12127.5
"226","GROVE STREET",40.733422,-74.002906,-457,801,1760,-93,-1084,-1357,-397,709,751,-582,-1232,-579,1149,8075,1014,-5097,-4654,-625,3076,7441,106,-5058,-4469,-864,2651,7508,881,-3871,-6082,-1366,1130,8435,1332,-4079,-6270,-1134,1914,7549,78,-5162,-2411
"227","GUN HILL RD",40.87785,-73.866256,-196,641,721,480,-19,-279,-3,452,549,171,-139,-226,2278,2360,752,290,-1338,-470,2394,2605,938,458,-1258,-496,2391,2584,987,422,-1243,-496,2404,2631,898,368,-1207,-532,2163,2558,1003,369,-1081
"228","HALSEY ST",40.68637,-73.916559,-399,988,2304,1687,235,-277,-202,1125,1608,592,-220,-302,1837,4545,1740,-101,-1100,-540,2018,5010,1705,-184,-1057,-469,2068,4850,1993,-70,-937,-546,2040,4906,1910,66,-1019,-597,1893,4501,1978,119,-26
"229","HARLEM 148 ST",40.82388,-73.93647,-33,-2,0,1,-1,0,0,0,-2,0,-3,0,731,638,290,-649,-619,-265,765,734,225,-705,-647,-212,710,755,227,-720,-555,-214,724,774,272,-693,-540,-243,776,760,283,-638,53
"230","HEWES ST",40.70687,-73.953431,-5,107,338,300,158,107,27,11,278,298,201,14,3,533,481,406,-12,-74,17,599,519,447,26,-105,11,583,284,284,1,-106,18,551,273,261,133,-56,20,470,385,488,80
"231","HIGH ST",40.699337,-73.990531,-82,-179,-1156,-1046,185,320,-110,-657,-849,-230,160,-46,-302,-406,-103,76,164,-68,-370,-1400,-156,475,83,-46,-311,-1175,-384,190,-51,-48,-366,-892,-347,-100,242,-36,-308,-637,38,164,1861
"232","HOUSTON ST",40.728251,-74.005367,250,-243,-488,262,442,386,157,-59,-258,109,207,397,-18,-1554,-1532,2094,5372,838,-3,-1592,-1469,2393,5581,830,-16,-1742,-1238,2368,5462,896,-11,-2070,-437,2658,4842,945,27,-1627,-1151,2528,3802
"233","HOWARD BCH JFK",40.660476,-73.830301,43,105,229,259,202,-52,61,136,197,299,327,-88,89,682,262,250,130,-62,94,723,268,283,43,-78,91,741,291,298,-40,-76,112,775,235,273,111,-58,84,772,15658,304,164
"234","HOYT-SCHER",40.688484,-73.985001,44,-115,-646,29,518,415,-30,-369,-125,259,49,21,-424,-494,792,1397,382,-32,-424,-936,1017,1809,504,-26,-432,-953,911,1756,503,14,-396,-883,786,1647,522,22,-429,-732,1023,1577,0
"235","HOYT ST",40.690545,-73.985065,32,-109,-641,-268,377,180,-169,-501,-164,420,21,1,-485,-1039,754,1792,370,4,-419,-1048,661,1762,618,7,-475,-1072,745,1918,386,22,-389,-1076,670,1960,415,55,-450,-935,691,1469,0
"236","HUNTERS PT AV",40.820948,-73.890549,-18,-145,187,187,-84,-71,-64,-27,53,133,-110,-34,-104,711,245,796,-406,-21,-59,894,195,779,-385,-36,-47,837,238,727,-384,4,-44,823,192,696,-545,19,-44,519,264,580,-312
"237","HUNTS POINT AV",40.820948,-73.890549,-56,670,631,501,-103,-159,-73,368,357,340,-218,-146,-14,2315,552,303,-589,-300,9,2411,612,276,-658,-275,-36,2529,755,256,-560,-232,-28,2335,734,447,-641,-298,-87,2328,784,443,-501
"238","INTERVALE AV",40.822181,-73.896736,-82,215,113,123,-162,-225,-102,104,101,66,-165,-164,-24,519,187,183,-347,-249,-59,584,168,156,-339,-247,-25,539,198,164,-353,-298,-47,551,223,140,-343,-292,-54,526,232,108,-318
"239","INWOOD-207 ST",40.868072,-73.919899,-69,702,1278,997,192,-237,-52,391,918,659,93,-157,822,3050,1428,678,-557,-611,-175,4146,1575,747,-585,-632,-197,4046,1536,795,-361,-599,-122,4112,1693,758,-388,-635,-120,3795,1623,603,-80
"240","JACKSON AV",40.81649,-73.907807,34,630,674,672,418,240,16,370,590,628,384,151,74,1672,953,1318,568,178,67,1938,966,1381,570,120,76,1948,984,1368,574,195,63,1897,1083,1312,1120,236,63,1826,1085,1376,648
"241","JAMAICA 179 ST",40.712646,-73.783817,-319,1326,1774,1498,304,-315,435,1274,1023,281,-67,-89,9026,3671,3858,-977,-583,-178,10020,6317,1446,-1577,-792,-256,9939,6512,1547,-1249,-819,-215,9555,5520,2518,-1673,-1008,-290,8819,5317,1938,-1242,0
"242","JAMAICA CENTER",40.702147,-73.801109,-902,3082,-737,1630,-430,-1007,146,817,1052,-360,-593,-452,10456,4527,2210,-3911,-2448,-747,11720,5302,1701,-5429,-2153,-873,11382,5282,1767,-4672,-2348,-965,11320,5809,1884,-4330,-2484,-1032,10816,3596,3305,-4057,0
"243","JAMAICA VAN WK",40.702566,-73.816859,-64,269,300,100,-275,-249,-90,176,255,70,-167,-251,7,1002,388,-148,-955,-363,21,1072,405,-309,-1147,-313,-32,1110,397,-202,-1095,-427,-6,1069,458,-229,-1147,-391,11,1000,368,-219,-930
"244","JAY ST-METROTEC",40.692338,-73.987342,181,143,514,2529,3415,1309,175,594,1954,1721,621,133,-1421,-3656,6701,14572,3667,161,-1352,-3524,7252,15593,4270,132,-1390,-3592,7567,15421,3953,197,-1277,-2635,6181,15461,3939,106,-1048,-2299,7003,13059,0
"245","JEFFERSON ST",40.706607,-73.922913,391,283,1068,1444,1236,648,526,843,1180,811,288,44,995,2190,987,1226,279,31,1092,2364,1023,1165,339,95,1094,2446,1087,1167,469,85,1107,2406,1010,1252,358,83,1068,2273,1072,1343,0
"246","JKSN HT-ROOSVLT",40.746644,-73.891338,-1708,2322,5429,3523,-615,-1646,-242,3830,2411,262,-1224,-605,7675,11835,1404,-5135,-3432,-796,8666,12380,882,-5467,-3107,-1009,8738,12339,1832,-5191,-3707,-1106,8672,12472,1748,-5726,-3426,-1206,8246,12272,1251,-82,0
"247","JUNCTION BLVD",40.749145,-73.869527,-877,3035,2907,1208,-998,-1297,196,2031,1098,-548,-1027,-432,6610,4592,181,-4091,-2314,-550,7216,4924,11,-4856,-2143,-611,7309,5161,206,-4799,-2237,-655,7373,4993,361,-5152,-2321,-731,7079,5089,122,-5015,0
"248","JUNIUS ST",40.663515,-73.902447,-40,176,329,411,228,133,79,231,279,194,73,-25,775,648,336,330,55,7,672,694,347,323,70,-12,672,627,360,280,87,-3,677,702,300,295,82,-15,542,586,328,291,0
"249","KEW GARDENS",40.714441,-73.831008,116,1600,1515,-662,-1447,-984,-48,963,904,-436,-1157,-467,1280,8210,1392,-4601,-6264,-953,1324,8885,1277,-4965,-6287,-999,1357,8919,1446,-4836,-6506,-1103,1273,8814,1592,-4438,-6041,-1121,1114,8193,1182,-3715,-4800
"250","KINGSBRIDGE RD",40.866978,-73.893509,-326,1778,1631,1055,-135,-369,-241,1070,1303,748,-169,-436,61,5502,1421,1488,-964,-621,-14,5920,1711,1642,-739,-591,-83,5988,1688,1511,-960,-712,283,5790,1720,1430,-865,-807,-101,5644,1910,1349,-925
"251","KINGS HWY",40.60867,-73.957734,-576,968,1782,643,-1006,-1163,-169,1481,898,-650,-1148,-538,3354,6196,967,-4093,-4170,-829,3639,6916,1071,-4459,-4181,-794,3749,6829,965,-4109,-4090,-960,3598,7042,969,-4151,-3983,-1094,3245,5850,931,-3354,-1806
"252","KINGSTON AV",40.669399,-73.942161,-202,93,380,252,-42,-242,-160,311,351,-109,-316,-101,643,1023,280,-415,-612,-93,681,994,319,-490,-629,-101,637,992,306,-412,-638,-142,683,994,307,-336,-648,-115,610,876,714,-251,0
"253","KINGSTON-THROOP",40.679921,-73.940858,-506,107,714,634,-86,-369,-340,536,262,-56,-434,-216,755,519,1286,-201,-748,-211,831,1569,386,-242,-726,-220,846,1545,620,-425,-821,-239,862,1315,720,-241,-790,-314,797,1546,437,-229,0
"254","KNICKERBOCKER",40.698664,-73.919711,-85,133,239,57,-228,-116,-61,121,205,-19,-167,-144,-13,981,469,-207,-1272,85.5,0,1128,442,-256,-942,-308,-21,1039,457,-167,-942,-342,-15,1078,452,-114,-864,-402,-8,1050,447,-368,-659
"255","KOSCIUSZKO ST",40.693342,-73.928814,-8,365,854,671,219,50,-57,287,618,535,61,-90,46,1387,1011,673,90,-40,25,1479,1007,710,143,-100,23,1482,1048,656,209,-109,9,1464,998,720,268,-77,-16,1368,1060,784,253
"256","LAFAYETTE AV",40.686113,-73.973946,99,89,363,514,633,540,45,58,211,422,213,438,14,622,649,732,507,436,24,661,537,825,574,349,24,694,592,702,516,491,20,602,648,794,614,417,24,520,644,793,626
"257","LEXINGTON AV/53",40.757552,-73.969055,270,-1104,-1934,-1160,206,97,-81,-1124,-981,222,-6,20,-5961,-18945,2100,17218,2778,327,-6471,-19415,2409,18730,3104,499,-6770,-19313,2199,18526,3692,455,-6248,-19251,2442,18341,3559,589,-6060,-17877,2733,16649,0
"258","LEXINGTON AV/63",40.764627,-73.96611,-99,-512,-759,321,1114,558,-383,-539,168,505,128,-71,-2508,-4210,344,4126,1074,-20,-2897,-4303,425,4322,1394,55,-2924,-4130,259,4114,1332,18,-2783,-4680,203,4869,1487,43,-2775,-4698,939,3832,0
"259","LIBERTY AV",40.674542,-73.896548,-23,138,197,216,73,19,-22,110,119,218,68,-38,10,829,278,428,111,-29,-1,853,305,409,125,-1,-4,829,277,405,115,-37,4,1155,337,441,67,-28,0,787,345,456,127
"260","LIVONIA AV",40.664038,-73.900571,-45,173,166,159,-14,-41,-40,130,149,95,-33,-29,7,823,198,73,-287,-24,-7,916,223,81,-259,-47,11,860,278,59,-210,-40,0,1083,260,86,-200,-40,-1,655,225,49,-173
"261","LONGWOOD AV",40.816104,-73.896435,-86,132,286,176,-130,-158,-58,103,170,101,-98,-160,-1,464,126,237,-175,-197,-15,526,142,285,-227,-163,-32,473,169,316,-217,-220,-43,453,176,306,-141,-207,-56,463,184,332,-130
"262","LORIMER ST",40.703869,-73.947408,200,535,1601,1257,670,306,193,299,1421,1001,590,212,79,2993,2245,1247,475,197,55,3304,2619,1329,546,118,36,3321,2367,1207,550,103,78,3233,2283,1249,716,267,81,2851,2387,1534,628
"263","MARBLE HILL-225",40.874561,-73.909831,20,338,723,845,745,410,243,583,713,477,249,28,1179,1315,956,722,268,27,1283,1370,1048,741,244,24,1272,1354,796,572,261,27,1275,1329,737,711,237,20,1183,1296,1079,649,-572
"264","MARCY AV",40.708359,-73.957757,113,64,631,678,124,55,158,-170,529,611,422,180,47,1140,1630,914,-121,-2,36,1257,1909,1133,-185,-32,35,1267,2231,1057,-68,-41,39,1122,2162,1248,-44,-15,70,1024,1998,1445,-516
"265","METROPOLITAN AV",40.711396,-73.889601,294,188,647,793,618,492,421,72,531,763,502,325,987,2045,1207,70,-187,268,1082,2173,1338,242,-255,280,1069,2217,1469,91,-387,212,1067,2121,1318,330,-205,158,1064,1928,1128,115,-222
"266","METS-WILLETS PT",40.754622,-73.845625,4,-153,-252,-82,290,-12,6,-138,-255,-347,639,9,2,175,-77,-163,-5,21,20,194,-73,-46,-143,63,21,160,-119,39,-62,28,21,260,-120,-163,44,72,15,-357,-220,-85,-38
"267","MIDDLETOWN RD",40.843863,-73.836322,-35,50,86,23,-111,-64,-27,15,72,10,-37,-37,25,825,133,-96,-603,-137,4,817,142,-84,-648,-155,4,827,132,-96,-612,-155,20,849,164,-40,-615,-174,4,760,115,-67,-527
"268","MONTROSE AV",40.707739,-73.93985,-69,125,770,963,366,54,-1,579,847,187,-171,-88,494,1978,760,200,-170,-61,715,2134,734,326,-237,-86,678,2214,879,323,-153,-96,680,2164,845,359,-213,-100,635,2141,811,443,0
"269","MORGAN AV",40.706152,-73.933147,339,165,881,1298,894,583,329,888,1045,612,260,-25,338,1757,886,1097,179,-36,376,1960,954,1086,256,16,336,1868,988,1098,408,-2,377,1021,1924,1092,357,-7,320,1850,1066,1287,0
