"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"14","149/GRAND CONC",40.818375,-73.927351,-88,489,745,872,978,219,109,419,370,205,151,-33,741,343,2372,2625,1009,10,836,249,3046,2890,1152,19,899,388,2956,2664,1216,-80,801,338,2778,2514,1199,8,844,565,2441,2289,0
"15","14 ST",40.740893,-74.00169,1806,-1025,-4128,-1236,3776,3534,1479,-2108,-1154,1989,2737,999,-1144,-6177,-912,10237,9420,1976,-1172,-6189,-754,10889,9953,2220,-1209,-6764,-932,10572,10362,2444,-1152,-6953,-1255,10215,9884,3012,-1241,-7293,-1409,8734,3245
"16","14 ST-UNION SQ",40.734673,-73.989951,2497,-2002,-5455,2404,8166,7815,2068,-1042,-2874,1396,5516,4354,424,-8381,-10756,6832,16910,9872,440,-9683,-11143,8105,18154,10445,50,-8814,-9318,6800,21135,8029,553,-9133,-10500,7610,18033,11669,984,-9722,-9770,7785,13822
"17","14TH STREET",40.740893,-74.00169,88,-700,-1197,362,873,376,18,-617,-135,248,195,-80,-401,-2653,-100,2172,557,27,-82,-2253,-449,-116,3152,688,-890,-2906,-506,1555,2748,321,-368,-1752,-366,1893,1323,44,-562,-2465,-204,143,1537
"18","155 ST",40.830518,-73.941514,-159,414,929,504,-21,-263,-176,281,702,361,-36,-263,5,1881,984,461,-322,-391,-54,1925,1059,518,-482,-377,-18,1976,1079,562,-331,-504,-24,2026,1087,429,-278,-471,-85,1843,1087,485,-92
"19","157 ST",40.834041,-73.94489,-219,821,1572,1196,530,-286,-201,527,1138,888,-94,-372,-37,2780,1593,770,-739,-354,-15,2997,1725,829,-482,-438,-5,2917,1725,889,-556,-404,-7,2864,1731,934,-611,-316,-8,2788,1600,903,-10
"20","15 ST-PROSPECT",40.660365,-73.979493,27,122,951,403,578,176,63,528,415,403,71,-6,1727,1803,459,245,-137,-22,1900,1877,532,43,-141,-15,1887,1969,492,-72,-79,-38,1874,1991,506,236,-146,-38,1591,1964,518,138,0
"21","161/YANKEE STAD",40.827905,-73.925651,-156,1317,1966,-2795,9604,282,728,1639,1739,567,134,-43,4191,3044,2968,1463,-163,-57,4683,3384,3189,1222,-116,-68,4689,3569,3164,1582,-188,-81,4646,2616,3994,1693,-90,-88,4430,3374,3240,1567,0
"22","163 ST-AMSTERDM",40.836013,-73.939892,-95,407,730,604,225,47,-51,245,569,465,174,46,40,1640,800,549,241,-63,-14,1722,845,546,264,-36,-47,1737,873,592,210,-86,-7,1706,913,625,259,-82,-28,1556,891,623,340
"23","167 ST",40.833769,-73.918432,-661,1628,2271,1696,-41,-445,474,1808,1201,-182,-537,-265,4688,3497,970,-1457,-1021,-374,5062,3868,1017,-1964,-1060,-404,5169,3752,852,-1744,-1311,-476,5007,3849,1270,-1785,-1264,-447,4806,3607,1168,-1418,0
"24","168 ST",40.840556,-73.940133,-313,363,1715,1847,932,-54,-89,1472,1117,118,-256,-72,214,-1420,1843,5250,289,45,495,-1342,1729,6231,216,-16,288,-1085,1978,5748,-36,-26,476,-1566,2262,5508,-104,-46,329,-1151,2280,5174,0
"25","169 ST",40.71047,-73.793604,-299,520,733,496,-57,-381,53,576,447,-291,-267,-158,1823,1466,787,-1501,-1163,-163,1981,1455,768,-1330,-696,-164,1967,1556,829,-1375,-679,-188,1930,1471,986,-1565,-832,-224,1804,1371,936,-1200,0
"26","170 ST",40.839306,-73.9134,-334,1383,1759,1438,74,-195,-40,1056,1211,500,-228,-170,1950,3617,1228,115,-505,-459,2125,3959,1453,5,-587,-364,2186,4238,1583,385,-707,-289,2084,4086,1498,21,-724,-362,1980,4119,1443,478,-55
"27","174-175 STS",40.8459,-73.910136,-4,357,760,751,388,142,247,610,574,178,132,21,1110,1158,723,552,81,4,1184,1290,746,517,66,0,1211,1246,728,561,60,23,1204,1236,682,514,105,38,1140,870,962,760,-160.5
"28","174 ST",40.837288,-73.887734,-205,574,510,240,-361,-312,-145,312,323,324,-242,-307,27,1537,523,466,-570,-436,8,1716,634,454,-432,-432,9,1619,721,529,-558,-471,-2,1673,690,386,-566,-460,-3,1457,655,520,-376
"29","175 ST",40.847391,-73.939704,-329,525,1558,1437,371,-42,7,1132,1058,340,101,-74,2528,4093,941,-390,-548,-207,2666,4097,1072,-359,-823,-278,2534,4073,1299,-318,-834,-258,2701,3563,1676,-65,-822,-298,2572,3664,1154,223,0
"30","176 ST",40.84848,-73.911794,-61,456,763,607,166,-28,94,495,385,139,26,-87,1342,1087,616,185,-161,-118,1536,1191,736,136,-121,-85,4922,688.5,760,275,-131,-67,1478,1243,728,241,-163,-110,1391,1223,725,139,0
